split,filename,audio_path,ship_id,ship_type,cache_index
train_target,train_000001.wav,database/train/audio/train_000001.wav,105.0,D_LargeShip,0
train_target,train_000002.wav,database/train/audio/train_000002.wav,277.0,A_SmallWorking,1
train_target,train_000003.wav,database/train/audio/train_000003.wav,3.0,A_SmallWorking,2
train_target,train_000004.wav,database/train/audio/train_000004.wav,43.0,B_MotorBoat,3
train_target,train_000007.wav,database/train/audio/train_000007.wav,11.0,D_LargeShip,4
train_target,train_000008.wav,database/train/audio/train_000008.wav,190.0,A_SmallWorking,5
train_target,train_000009.wav,database/train/audio/train_000009.wav,256.0,B_MotorBoat,6
train_target,train_000010.wav,database/train/audio/train_000010.wav,136.0,A_SmallWorking,7
train_target,train_000012.wav,database/train/audio/train_000012.wav,97.0,D_LargeShip,8
train_target,train_000013.wav,database/train/audio/train_000013.wav,30.0,A_SmallWorking,9
train_target,train_000014.wav,database/train/audio/train_000014.wav,319.0,A_SmallWorking,10
train_target,train_000015.wav,database/train/audio/train_000015.wav,240.0,B_MotorBoat,11
train_target,train_000016.wav,database/train/audio/train_000016.wav,243.0,A_SmallWorking,12
train_target,train_000020.wav,database/train/audio/train_000020.wav,143.0,C_Passenger,13
train_target,train_000024.wav,database/train/audio/train_000024.wav,254.0,A_SmallWorking,14
train_target,train_000025.wav,database/train/audio/train_000025.wav,201.0,C_Passenger,15
train_target,train_000026.wav,database/train/audio/train_000026.wav,62.0,C_Passenger,16
train_target,train_000028.wav,database/train/audio/train_000028.wav,34.0,A_SmallWorking,17
train_target,train_000029.wav,database/train/audio/train_000029.wav,283.0,A_SmallWorking,18
train_target,train_000030.wav,database/train/audio/train_000030.wav,3.0,A_SmallWorking,19
train_target,train_000031.wav,database/train/audio/train_000031.wav,94.0,B_MotorBoat,20
train_target,train_000032.wav,database/train/audio/train_000032.wav,62.0,C_Passenger,21
train_target,train_000033.wav,database/train/audio/train_000033.wav,30.0,A_SmallWorking,22
train_target,train_000037.wav,database/train/audio/train_000037.wav,97.0,D_LargeShip,23
train_target,train_000039.wav,database/train/audio/train_000039.wav,268.0,A_SmallWorking,24
train_target,train_000040.wav,database/train/audio/train_000040.wav,120.0,B_MotorBoat,25
train_target,train_000041.wav,database/train/audio/train_000041.wav,277.0,A_SmallWorking,26
train_target,train_000043.wav,database/train/audio/train_000043.wav,143.0,C_Passenger,27
train_target,train_000045.wav,database/train/audio/train_000045.wav,277.0,A_SmallWorking,28
train_target,train_000046.wav,database/train/audio/train_000046.wav,277.0,A_SmallWorking,29
train_target,train_000047.wav,database/train/audio/train_000047.wav,280.0,B_MotorBoat,30
train_target,train_000048.wav,database/train/audio/train_000048.wav,30.0,A_SmallWorking,31
train_target,train_000049.wav,database/train/audio/train_000049.wav,277.0,A_SmallWorking,32
train_target,train_000050.wav,database/train/audio/train_000050.wav,43.0,B_MotorBoat,33
train_target,train_000051.wav,database/train/audio/train_000051.wav,268.0,A_SmallWorking,34
train_target,train_000052.wav,database/train/audio/train_000052.wav,173.0,A_SmallWorking,35
train_target,train_000053.wav,database/train/audio/train_000053.wav,276.0,A_SmallWorking,36
train_target,train_000054.wav,database/train/audio/train_000054.wav,254.0,A_SmallWorking,37
train_target,train_000055.wav,database/train/audio/train_000055.wav,361.0,C_Passenger,38
train_target,train_000056.wav,database/train/audio/train_000056.wav,148.0,A_SmallWorking,39
train_target,train_000057.wav,database/train/audio/train_000057.wav,256.0,B_MotorBoat,40
train_target,train_000059.wav,database/train/audio/train_000059.wav,52.0,D_LargeShip,41
train_target,train_000061.wav,database/train/audio/train_000061.wav,30.0,A_SmallWorking,42
train_target,train_000062.wav,database/train/audio/train_000062.wav,172.0,B_MotorBoat,43
train_target,train_000063.wav,database/train/audio/train_000063.wav,216.0,A_SmallWorking,44
train_target,train_000066.wav,database/train/audio/train_000066.wav,293.0,D_LargeShip,45
train_target,train_000068.wav,database/train/audio/train_000068.wav,243.0,A_SmallWorking,46
train_target,train_000069.wav,database/train/audio/train_000069.wav,132.0,A_SmallWorking,47
train_target,train_000070.wav,database/train/audio/train_000070.wav,271.0,A_SmallWorking,48
train_target,train_000071.wav,database/train/audio/train_000071.wav,345.0,A_SmallWorking,49
train_target,train_000074.wav,database/train/audio/train_000074.wav,355.0,B_MotorBoat,50
train_target,train_000075.wav,database/train/audio/train_000075.wav,3.0,A_SmallWorking,51
train_target,train_000076.wav,database/train/audio/train_000076.wav,254.0,A_SmallWorking,52
train_target,train_000078.wav,database/train/audio/train_000078.wav,32.0,A_SmallWorking,53
train_target,train_000080.wav,database/train/audio/train_000080.wav,155.0,A_SmallWorking,54
train_target,train_000081.wav,database/train/audio/train_000081.wav,20.0,C_Passenger,55
train_target,train_000083.wav,database/train/audio/train_000083.wav,254.0,A_SmallWorking,56
train_target,train_000084.wav,database/train/audio/train_000084.wav,189.0,B_MotorBoat,57
train_target,train_000085.wav,database/train/audio/train_000085.wav,195.0,A_SmallWorking,58
train_target,train_000086.wav,database/train/audio/train_000086.wav,256.0,B_MotorBoat,59
train_target,train_000088.wav,database/train/audio/train_000088.wav,313.0,A_SmallWorking,60
train_target,train_000089.wav,database/train/audio/train_000089.wav,132.0,A_SmallWorking,61
train_target,train_000090.wav,database/train/audio/train_000090.wav,276.0,A_SmallWorking,62
train_target,train_000095.wav,database/train/audio/train_000095.wav,305.0,A_SmallWorking,63
train_target,train_000096.wav,database/train/audio/train_000096.wav,276.0,A_SmallWorking,64
train_target,train_000097.wav,database/train/audio/train_000097.wav,201.0,C_Passenger,65
train_target,train_000098.wav,database/train/audio/train_000098.wav,195.0,A_SmallWorking,66
train_target,train_000099.wav,database/train/audio/train_000099.wav,256.0,B_MotorBoat,67
train_target,train_000100.wav,database/train/audio/train_000100.wav,178.0,A_SmallWorking,68
train_target,train_000102.wav,database/train/audio/train_000102.wav,112.0,A_SmallWorking,69
train_target,train_000104.wav,database/train/audio/train_000104.wav,305.0,A_SmallWorking,70
train_target,train_000107.wav,database/train/audio/train_000107.wav,53.0,C_Passenger,71
train_target,train_000109.wav,database/train/audio/train_000109.wav,345.0,A_SmallWorking,72
train_target,train_000110.wav,database/train/audio/train_000110.wav,7.0,A_SmallWorking,73
train_target,train_000111.wav,database/train/audio/train_000111.wav,7.0,A_SmallWorking,74
train_target,train_000112.wav,database/train/audio/train_000112.wav,305.0,A_SmallWorking,75
train_target,train_000114.wav,database/train/audio/train_000114.wav,97.0,D_LargeShip,76
train_target,train_000115.wav,database/train/audio/train_000115.wav,11.0,D_LargeShip,77
train_target,train_000116.wav,database/train/audio/train_000116.wav,61.0,A_SmallWorking,78
train_target,train_000117.wav,database/train/audio/train_000117.wav,208.0,C_Passenger,79
train_target,train_000118.wav,database/train/audio/train_000118.wav,120.0,B_MotorBoat,80
train_target,train_000119.wav,database/train/audio/train_000119.wav,260.0,A_SmallWorking,81
train_target,train_000120.wav,database/train/audio/train_000120.wav,345.0,A_SmallWorking,82
train_target,train_000122.wav,database/train/audio/train_000122.wav,88.0,B_MotorBoat,83
train_target,train_000124.wav,database/train/audio/train_000124.wav,345.0,A_SmallWorking,84
train_target,train_000125.wav,database/train/audio/train_000125.wav,153.0,B_MotorBoat,85
train_target,train_000127.wav,database/train/audio/train_000127.wav,32.0,A_SmallWorking,86
train_target,train_000130.wav,database/train/audio/train_000130.wav,3.0,A_SmallWorking,87
train_target,train_000131.wav,database/train/audio/train_000131.wav,242.0,D_LargeShip,88
train_target,train_000132.wav,database/train/audio/train_000132.wav,62.0,C_Passenger,89
train_target,train_000134.wav,database/train/audio/train_000134.wav,298.0,A_SmallWorking,90
train_target,train_000137.wav,database/train/audio/train_000137.wav,307.0,A_SmallWorking,91
train_target,train_000138.wav,database/train/audio/train_000138.wav,163.0,A_SmallWorking,92
train_target,train_000140.wav,database/train/audio/train_000140.wav,62.0,C_Passenger,93
train_target,train_000141.wav,database/train/audio/train_000141.wav,241.0,A_SmallWorking,94
train_target,train_000142.wav,database/train/audio/train_000142.wav,163.0,A_SmallWorking,95
train_target,train_000143.wav,database/train/audio/train_000143.wav,277.0,A_SmallWorking,96
train_target,train_000145.wav,database/train/audio/train_000145.wav,307.0,A_SmallWorking,97
train_target,train_000146.wav,database/train/audio/train_000146.wav,276.0,A_SmallWorking,98
train_target,train_000147.wav,database/train/audio/train_000147.wav,254.0,A_SmallWorking,99
train_target,train_000148.wav,database/train/audio/train_000148.wav,89.0,D_LargeShip,100
train_target,train_000149.wav,database/train/audio/train_000149.wav,361.0,C_Passenger,101
train_target,train_000150.wav,database/train/audio/train_000150.wav,298.0,A_SmallWorking,102
train_target,train_000151.wav,database/train/audio/train_000151.wav,190.0,A_SmallWorking,103
train_target,train_000152.wav,database/train/audio/train_000152.wav,195.0,A_SmallWorking,104
train_target,train_000153.wav,database/train/audio/train_000153.wav,155.0,A_SmallWorking,105
train_target,train_000154.wav,database/train/audio/train_000154.wav,20.0,C_Passenger,106
train_target,train_000156.wav,database/train/audio/train_000156.wav,146.0,A_SmallWorking,107
train_target,train_000157.wav,database/train/audio/train_000157.wav,154.0,D_LargeShip,108
train_target,train_000159.wav,database/train/audio/train_000159.wav,360.0,A_SmallWorking,109
train_target,train_000162.wav,database/train/audio/train_000162.wav,240.0,B_MotorBoat,110
train_target,train_000163.wav,database/train/audio/train_000163.wav,196.0,A_SmallWorking,111
train_target,train_000164.wav,database/train/audio/train_000164.wav,313.0,A_SmallWorking,112
train_target,train_000165.wav,database/train/audio/train_000165.wav,132.0,A_SmallWorking,113
train_target,train_000166.wav,database/train/audio/train_000166.wav,43.0,B_MotorBoat,114
train_target,train_000167.wav,database/train/audio/train_000167.wav,271.0,A_SmallWorking,115
train_target,train_000169.wav,database/train/audio/train_000169.wav,7.0,A_SmallWorking,116
train_target,train_000170.wav,database/train/audio/train_000170.wav,32.0,A_SmallWorking,117
train_target,train_000171.wav,database/train/audio/train_000171.wav,30.0,A_SmallWorking,118
train_target,train_000175.wav,database/train/audio/train_000175.wav,201.0,C_Passenger,119
train_target,train_000177.wav,database/train/audio/train_000177.wav,146.0,A_SmallWorking,120
train_target,train_000178.wav,database/train/audio/train_000178.wav,61.0,A_SmallWorking,121
train_target,train_000180.wav,database/train/audio/train_000180.wav,132.0,A_SmallWorking,122
